SciName,Etymology,Wingspan,Location,Fact
Lagerpeton chanarensis,Chañares Formation Hare Reptile,N/A,Northwestern Argentina,"Once thought to be a dinosaur relative, it is now considered one of the closest known non‑pterosaur ancestors based on ankle and inner‑ear anatomy."
Dimorphodon macronyx,"Twoform Tooth, Large Claw",1.45m,Southern England,"Once grouped with Pterodactylus, it shows early Jurassic pterosaur diversity."
Rhamphorhynchus muensteri,Münster's Beak Snout,1.8m,Southern Germany,"Long considered a Pterodactylus, it had a distinctive tail vane."
Anurognathus ammoni,Ammon’s Tailless Jaw,0.35m,Southern Germany,Its reconstruction is heavily informed by the related Jeholopterus.
Pterodactylus antiquus,Old Winged Finger,1m,Southern Germany,"Juveniles resemble Ctenochasma, leading to many misassigned specimens."
Guidraco venator,Malicious Ghost Dragon Hunter,5m,Northeastern China,It may belong to Anhanguerinae based on skull and tooth structure.
Pteranodon longiceps,Long Headed Toothless Wing ,6m,Central United States,Both it and Nyctosaurus were discovered by Marsh and originally lumped into Pterodactylus.
Tapejara wellnhoferi,Wellnhofer's Lord Of The Ways,1.5–3.5m,Northeastern Brazil,It lived alongside Thalassodromeus and may connect evolutionarily to Tupandactylus.
Nemicolopterus crypticus,Hidden Forest-Dwelling Wing,20cm (Baby!),Northeastern China,"A very small azhdarchoid, possibly the juvenile form of Sinopterus."
Quetzalcoatlus northropi,"Quetzalcoatl God, Northrop Aircraft",10m,Central Texas,It lived at the very end of the dinosaurs’ reign.
Dsungaripterus weii,Wei's Junggar Basin Pterosaur,3.5–5m,Northwestern China,Often mistaken for Pterodactylus or Noripterus due to similar skull features.
